rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
0,8,2048,2048,256,1,NCCL,4.462118530273438,0.48126996928259597
0,8,2048,2048,256,1,TK,0.07002239823341369,30.668524674655476
1,8,2048,2048,256,1,NCCL,1.6270208358764648,1.3198869987692354
1,8,2048,2048,256,1,TK,0.07399680018424988,29.021304200354994
2,8,2048,2048,256,1,NCCL,4.173235321044922,0.514584844322246
2,8,2048,2048,256,1,TK,0.07462400197982788,28.777385171335368
3,8,2048,2048,256,1,NCCL,0.27915520668029786,7.692794533685351
3,8,2048,2048,256,1,TK,0.07264000177383423,29.56337548953018
4,8,2048,2048,256,1,NCCL,4.438816070556641,0.4837964929983457
4,8,2048,2048,256,1,TK,0.0782912015914917,27.42943784673472
5,8,2048,2048,256,1,NCCL,0.5405824184417725,3.9725369800041155
5,8,2048,2048,256,1,TK,0.06401919722557067,33.54437014312088
6,8,2048,2048,256,1,NCCL,0.11490559577941895,18.689112862026878
6,8,2048,2048,256,1,TK,0.074099200963974,28.981198448335178
7,8,2048,2048,256,1,NCCL,4.960480117797852,0.43291850728218434
7,8,2048,2048,256,1,TK,0.07400959730148315,29.016286080467086
0,8,2048,2048,256,2,NCCL,0.06549760103225707,32.78721073986176
0,8,2048,2048,256,2,TK,0.060115200281143186,35.72280617808435
1,8,2048,2048,256,2,NCCL,0.06580479741096497,32.63415028221282
1,8,2048,2048,256,2,TK,0.060211199522018435,35.665850623266415
2,8,2048,2048,256,2,NCCL,0.0637440025806427,33.689187391130844
2,8,2048,2048,256,2,TK,0.060198402404785155,35.6734325532416
3,8,2048,2048,256,2,NCCL,0.06401280164718628,33.54772159225425
3,8,2048,2048,256,2,TK,0.060166400671005246,35.69240679266513
4,8,2048,2048,256,2,NCCL,0.06490240097045899,33.087892218000526
4,8,2048,2048,256,2,TK,0.05963519811630249,36.01033811964384
5,8,2048,2048,256,2,NCCL,0.06164479851722717,34.836412798070334
5,8,2048,2048,256,2,TK,0.05907840132713318,36.34972510696081
6,8,2048,2048,256,2,NCCL,0.06413440108299255,33.48411479232601
6,8,2048,2048,256,2,TK,0.05802879929542541,37.00720459624076
7,8,2048,2048,256,2,NCCL,0.0654528021812439,32.809651786235996
7,8,2048,2048,256,2,TK,0.06024320125579834,35.646904600596855
0,8,2048,2048,256,4,NCCL,0.06231039762496948,34.464290549470746
0,8,2048,2048,256,4,TK,0.05966079831123352,35.994886236640426
