rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
0,8,32768,4096,32768,16,NCCL,21.85392608642578,402.4948646491284
0,8,32768,4096,32768,16,PK,15.842445373535156,555.2231877600092
1,8,32768,4096,32768,16,NCCL,21.85596160888672,402.4573788888554
1,8,32768,4096,32768,16,PK,15.842477416992187,555.2220647493909
2,8,32768,4096,32768,16,NCCL,21.862995910644532,402.3278903841997
2,8,32768,4096,32768,16,PK,15.842239379882812,555.2304072224583
3,8,32768,4096,32768,16,NCCL,21.860940551757814,402.3657171283381
3,8,32768,4096,32768,16,PK,15.841171264648438,555.2678444830393
4,8,32768,4096,32768,16,NCCL,21.855622863769533,402.46361666449894
4,8,32768,4096,32768,16,PK,15.842451477050782,555.2229738528746
5,8,32768,4096,32768,16,NCCL,21.848979187011718,402.58599483846365
5,8,32768,4096,32768,16,PK,15.8403076171875,555.2981188738919
6,8,32768,4096,32768,16,NCCL,21.84687957763672,402.624685642155
6,8,32768,4096,32768,16,PK,15.842611694335938,555.2173588495377
7,8,32768,4096,32768,16,NCCL,21.848883056640624,402.58776612997457
7,8,32768,4096,32768,16,PK,15.842060852050782,555.236664241782
0,8,32768,32768,4096,16,NCCL,13.925318908691406,631.6618728722952
0,8,32768,32768,4096,16,PK,13.388645935058594,656.9815248586978
1,8,32768,32768,4096,16,NCCL,13.929426574707032,631.4756013129709
1,8,32768,32768,4096,16,PK,13.388896179199218,656.9692455957253
2,8,32768,32768,4096,16,NCCL,13.929299926757812,631.4813428140018
2,8,32768,32768,4096,16,PK,13.38853759765625,656.9868410234598
3,8,32768,32768,4096,16,NCCL,13.92978515625,631.4593458220983
3,8,32768,32768,4096,16,PK,13.386163330078125,657.1033690021967
4,8,32768,32768,4096,16,NCCL,13.931507873535157,631.3812619606961
4,8,32768,32768,4096,16,PK,13.386207580566406,657.1011968302238
5,8,32768,32768,4096,16,NCCL,13.921478271484375,631.836134832405
5,8,32768,32768,4096,16,PK,13.388006591796875,657.0128989626849
6,8,32768,32768,4096,16,NCCL,13.913682556152343,632.1901471238144
6,8,32768,32768,4096,16,PK,13.3889404296875,656.9670743103981
7,8,32768,32768,4096,16,NCCL,13.912588500976563,632.2398611581575
7,8,32768,32768,4096,16,PK,13.388896179199218,656.9692455957253
