rank,world_size,M,K,N,impl,ms,tflops
0,8,2048,256,2048,NCCL,0.09745919704437256,22.034694653007083
0,8,2048,256,2048,PK,0.04547199904918671,47.22650626547303
1,8,2048,256,2048,NCCL,0.09776639938354492,21.965457064397558
1,8,2048,256,2048,PK,0.04361599981784821,49.23614400606318
2,8,2048,256,2048,NCCL,0.09751039743423462,22.023124759063354
2,8,2048,256,2048,PK,0.04257279932498932,50.44262256767957
3,8,2048,256,2048,NCCL,0.08010879755020142,26.807088780158583
3,8,2048,256,2048,PK,0.043372800946235655,49.51221966646775
4,8,2048,256,2048,NCCL,0.09868159890174866,21.76174354590789
4,8,2048,256,2048,PK,0.044275200366973876,48.50308141353706
5,8,2048,256,2048,NCCL,0.09872639775276185,21.751868769464192
5,8,2048,256,2048,PK,0.04354560077190399,49.315742806000635
6,8,2048,256,2048,NCCL,0.09733759760856628,22.062221595358224
6,8,2048,256,2048,PK,0.043296000361442565,49.60004688822136
7,8,2048,256,2048,NCCL,0.09729920029640197,22.070928039060274
7,8,2048,256,2048,PK,0.0414463996887207,51.81351490427334
0,8,4096,512,4096,NCCL,0.16113280057907103,106.61931724800812
0,8,4096,512,4096,PK,0.1297152042388916,132.4429875803956
1,8,4096,512,4096,NCCL,0.16168320178985596,106.25636425934428
1,8,4096,512,4096,PK,0.1296064019203186,132.5541711632586
2,8,4096,512,4096,NCCL,0.16159360408782958,106.31527949993846
2,8,4096,512,4096,PK,0.1289791941642761,133.1987635317261
3,8,4096,512,4096,NCCL,0.16181119680404663,106.17231392710619
3,8,4096,512,4096,PK,0.12962559461593628,132.53454485513998
4,8,4096,512,4096,NCCL,0.16235519647598268,105.81656489536157
4,8,4096,512,4096,PK,0.1296447992324829,132.5149121731644
5,8,4096,512,4096,NCCL,0.1636031985282898,105.00937230166257
5,8,4096,512,4096,PK,0.12965760231018067,132.50182694957212
6,8,4096,512,4096,NCCL,0.16266239881515504,105.61672094558692
6,8,4096,512,4096,PK,0.12885119915008544,133.33107722178778
7,8,4096,512,4096,NCCL,0.1621440052986145,105.95439006431647
7,8,4096,512,4096,PK,0.1292672038078308,132.90199430274419
0,8,8192,1024,8192,NCCL,0.5914112091064453,232.39152615936135
0,8,8192,1024,8192,PK,0.44897918701171874,306.11430874280757
1,8,8192,1024,8192,NCCL,0.586572790145874,234.30843670368768
1,8,8192,1024,8192,PK,0.4489280223846436,306.1491967953867
2,8,8192,1024,8192,NCCL,0.5824063777923584,235.9846298266332
2,8,8192,1024,8192,PK,0.4490816116333008,306.0444914948472
3,8,8192,1024,8192,NCCL,0.5817984104156494,236.2312289127958
3,8,8192,1024,8192,PK,0.44899840354919435,306.10120745549943
4,8,8192,1024,8192,NCCL,0.581990385055542,236.15330596721725
4,8,8192,1024,8192,PK,0.4489727973937988,306.1186652505604
5,8,8192,1024,8192,NCCL,0.5848127841949463,235.01359270248946
5,8,8192,1024,8192,PK,0.44884481430053713,306.2059515741085
6,8,8192,1024,8192,NCCL,0.5854591846466064,234.75411621556609
6,8,8192,1024,8192,PK,0.4490047931671143,306.09685144462776
7,8,8192,1024,8192,NCCL,0.5894015789031982,233.1838909012706
7,8,8192,1024,8192,PK,0.4487743854522705,306.2540063053963
0,8,16384,2048,16384,NCCL,2.8563392639160154,384.9373362842687
0,8,16384,2048,16384,PK,1.9161663055419922,573.8080377449287
1,8,16384,2048,16384,NCCL,2.86364803314209,383.9548768043184
1,8,16384,2048,16384,PK,1.9161727905273438,573.8060957818981
2,8,16384,2048,16384,NCCL,2.8654016494750976,383.71989768953176
2,8,16384,2048,16384,PK,1.9161344528198243,573.8175764012464
3,8,16384,2048,16384,NCCL,2.8669824600219727,383.5083203709496
3,8,16384,2048,16384,PK,1.9161663055419922,573.8080377449287
4,8,16384,2048,16384,NCCL,2.8584831237792967,384.64863361596434
4,8,16384,2048,16384,PK,1.9163007736206055,573.7677732596294
5,8,16384,2048,16384,NCCL,2.848684883117676,385.9716581121691
5,8,16384,2048,16384,PK,1.916102409362793,573.8271724952565
6,8,16384,2048,16384,NCCL,2.848031997680664,386.0601386049746
6,8,16384,2048,16384,PK,1.9155519485473633,573.9920698103759
7,8,16384,2048,16384,NCCL,2.849081611633301,385.91791238499474
7,8,16384,2048,16384,PK,1.916223907470703,573.79078900403
0,8,32768,4096,32768,NCCL,17.675334167480468,497.6479052029057
0,8,32768,4096,32768,PK,12.419398498535156,708.2543509047948
1,8,32768,4096,32768,NCCL,17.68293151855469,497.43409417031705
1,8,32768,4096,32768,PK,12.419328308105468,708.2583537522906
2,8,32768,4096,32768,NCCL,17.690451049804686,497.22265404335826
2,8,32768,4096,32768,PK,12.419257354736327,708.2624001549848
3,8,32768,4096,32768,NCCL,17.696383666992187,497.05596283011937
3,8,32768,4096,32768,PK,12.419398498535156,708.2543509047948
4,8,32768,4096,32768,NCCL,17.697779846191406,497.01675004737587
4,8,32768,4096,32768,PK,12.419641876220703,708.2404718166198
5,8,32768,4096,32768,NCCL,17.690509033203124,497.22102431867324
5,8,32768,4096,32768,PK,12.419398498535156,708.2543509047948
6,8,32768,4096,32768,NCCL,17.682681274414062,497.4411338248514
6,8,32768,4096,32768,PK,12.418470764160157,708.3072617599279
7,8,32768,4096,32768,NCCL,17.674713134765625,497.6653909537209
7,8,32768,4096,32768,PK,12.418611145019531,708.2992550045069
